Mouse symbol	FC.old	log2FC.old	fdr.old	log10.old	significant.level.old	FC.new	log2FC.new	fdr.new	log10.new	significant.level.new	grouping
Adssl1	-1.30486958658346	-0.383905625805874	0.00660189536051441	2.1803313634821273	3	-1.22540374776969	-0.293257168767099	0.403345503643977	0.39432278005854954	0	old
Zc3h11a	1.22473954165722	0.292474972156648	0.0434573719089149	1.3619365412453062	2	-1.17530128760707	-0.233030637997658	0.52153463977931	0.2827168408991975	0	old
Pcdh19	1.21750847684023	0.283931817032712	0.0439828091665896	1.356717035853193	2	1.03264893872746	0.0463498762376665	0.946547450666059	0.02385760986088993	0	old
Olig1	-1.22566265616037	-0.293561955167072	0.0048887674084455	2.310800624554851	3	-1.09384455901287	-0.129407738245321	0.653620677853874	0.18467421697780714	0	old
H2-T23	-1.29602630430448	-0.374094999630343	0.00780108252751725	2.107845127680515	3	-1.10129248075218	-0.139197670077336	0.683062352045996	0.1655396507642368	0	old
Kcnn3	1.32027009773208	0.400833102914919	0.0229283059736872	1.6396280313344964	2	1.18320668186081	0.24270210482839	0.494418647435182	0.3059051578110718	0	old
Wdr6	1.13557444242458	0.183422284817568	0.0308368326433181	1.5109302362038066	2	1.10574633881498	0.145020465404367	0.580661925460098	0.23607665012423507	0	old
Grm5	1.19534272030922	0.257424316952831	0.0189396644339907	1.7226277199344973	2	-1.01581023975392	-0.0226309220558805	0.972776402917882	0.011986972823445605	0	old
Hapln2	-1.5743651839621	-0.654770221902212	0.0033632427760606	2.473241781957473	3	-1.1786824601993	-0.237175105256963	0.761323754648994	0.11843061923856904	0	old
Rpl10a	-1.21824705567538	-0.284806735751935	0.00505903396413163	2.295932404919277	3	1.0099755028877	0.0143203006097103	0.979098122648051	0.00917378216091837	0	old
Trpc5	1.30459377849113	0.383600653546941	0.0139342156392792	1.8559174728150576	2	-1.08326479457524	-0.115385940200449	0.918974769671562	0.03669641194667733	0	old
Rps4x	-1.08869252020652	-0.122596550739565	0.0342470304883966	1.465377079599679	2	-1.07384820024093	-0.102790067589693	0.602176298614182	0.2202763421205743	0	old
Gria4	1.1345256804905	0.182089265420108	0.044064690183956	1.3559092790281053	2	-1.05730538836964	-0.0803921398730908	0.862905742737873	0.06403664072103149	0	old
Grina	-1.10828439760088	-0.1483281398351	0.0439828091665896	1.356717035853193	2	1.02174982317081	0.0310419936785023	0.901215991131918	0.04517111078005724	0	old
Tmbim1	-1.32218805170886	-0.402927382574516	9.21881328671599e-5	4.035324980920488	3	1.11546289392996	0.157642522875104	0.828136153637344	0.08189825510849418	0	old
Hnrnpdl	1.12469660996375	0.169535882926095	0.0399980928444353	1.397960715844136	2	-1.0345279843536	-0.0489726711448592	0.834004431978017	0.07883164147439264	0	old
Rpl18	-1.14011550094782	-0.189179985972374	0.0187877289079918	1.7261257149680653	2	1.02870115496362	0.0408239298792492	0.908183540983719	0.04182637308548177	0	old
Lrguk	1.33918898179531	0.421359563246824	0.0409742145201247	1.3874893631472183	2	1.05832290820785	0.0817798798084597	0.906970476574764	0.04240684973081019	0	old
Rpl38	-1.21101655156169	-0.276218583193091	0.0409742145201247	1.3874893631472183	2	-1.09665803200947	-0.133113724066584	0.613471176287756	0.21220583762034645	0	old
Tenm1	1.28451619290438	0.361225077296419	0.0269354035922868	1.5696765127265306	2	-1.2175684227158	-0.284002848561473	0.429831700519452	0.3667015580093483	0	old
Rpl29	-1.10961013407736	-0.150052868978541	0.0248857323387206	1.604049574289643	2	-1.01595409898697	-0.022835222326834	0.954968233909326	0.02001107456006665	0	old
Itga4	1.24829098786585	0.319954278604695	0.0301828481295959	1.5202397815052389	2	-1.12164005570241	-0.165609776511254	0.735902522702792	0.13317970829283463	0	old
Dbndd2	-1.19526937675059	-0.257335793692641	0.0455836524682368	1.3411908791721308	2	-1.10704534708507	-0.146714319386698	0.737726810743265	0.13210443296256086	0	old
Cbx5	1.12325807522765	0.167689433594288	0.00682502280783687	2.1658958929610312	3	1.08205323516204	0.113771479030709	0.70963611210139	0.14896429215137263	0	old
Sst	-1.21643184610747	-0.282655491639122	0.00913390468572999	2.039343524662179	3	-1.14387638146081	-0.193931148716041	0.0825448203203395	1.0833101734838195	1	old
Epha7	1.20327787571729	0.266969845861079	0.0216445491675689	1.6646514556385892	2	-1.04073680566748	-0.0576052682847553	0.93455202034083	0.029396519305823644	0	old
Lynx1	-1.14988794401904	-0.20149327813944	4.41794326877046e-4	3.3547798652455096	3	-1.15043543872268	-0.202180023242065	0.0566915752635177	1.2464814752942934	1	old
